sample_id,drug_name,category,form,manufacturer,batch_number,expiry_date,price,distribution_channel,manufacturing_country,active_ingredient_pct,impurity_level,dissolution_rate,ph_level,spectral_diff,barcode_valid,hologram_quality,print_quality,package_seal_quality,label_text_errors,weight_variation_pct,is_fake
MED000001,Oxyprazole,Hormone,Syrup,Sanofi,E787691,06/2030,134.21,Official Pharmacy,China,102.35285977979447,0.8216367314850681,91.03722425376355,7.327743088206208,1.410492415687182,True,8.4,9.4,8.6,0.0,-0.028120195078823018,False
MED000002,Ketoprazole,Antipsychotic,Ointment,Abbott,3488374,06/2027,144.73,Hospital Pharmacy,Japan,97.25232694405635,0.25595021401563334,92.84814234796572,6.643905621203365,2.6192954742652845,True,7.8,7.8,10.0,0.0,-0.27752730942134984,False
MED000003,Ubxlfbua,Antihistamine,Gel,Eli Lilly,32612871,05/2027,61.31,Official Pharmacy,Germany,95.72153967289188,0.0,94.61558515223663,6.7887648225616015,1.778525394307215,True,5.4,9.3,8.7,1.0,0.09642174006807158,False
MED000004,Rifprazole®,Antihistamine,Gel,Novartis,2549369,06/2028,106.2,Official Pharmacy,China,102.94223619071451,0.6316642195573812,84.98377573009923,6.55425350016438,1.801966847560604,True,8.5,9.2,9.3,1.0,1.170702150175656,False
MED000005,Paradronate 66®,Antibiotic,Ointment,AstraZeneca,31334017,05/2025,96.88,Official Pharmacy,Germany,98.16030107620163,0.6759712245723852,92.2622578339403,6.687701214438461,4.743021625231,True,6.6,9.1,9.8,1.0,1.4472555079839722,False
MED000006,Benzsartan®,Antipsychotic,Capsule,Bayer,E33649,10/2027,114.54,Official Pharmacy,USA,102.07416191774001,0.4269748787542298,93.96957550866946,7.747054630299013,1.9486159558420977,True,7.3,8.4,9.3,1.0,0.07884912700385688,False
MED000007,Cefdipine,Antipsychotic,Cream,Eli Lilly,D314997,08/2028,39.88,Unknown Source,Japan,94.60732596163001,0.6669574760686122,85.45941132662122,7.2572672027774,1.1443437736195534,True,8.9,8.0,8.5,0.0,-1.1437125114563598,False
MED000008,Zolcillin,Antiviral,Tablet,Boehringer Ingelheim,L4646339,11/2027,72.78,Official Pharmacy,USA,107.2429544390595,0.0,86.43855538051527,6.800313329672749,1.765615817667342,True,8.9,8.4,9.1,0.0,0.6937625318636348,False
MED000009,Glimycin®,Cardiovascular,Syrup,Bayer,Z94919,12/2028,20.51,Online Pharmacy (Verified),Germany,99.03021739028256,0.8771546708582338,88.88916971406924,6.573289514043031,4.075450191364748,True,9.1,9.0,8.9,0.0,1.4955840836058658,False
MED000010,Azadronate,Antiviral,Ointment,Eli Lilly,Z117241,09/2027,106.25,Official Pharmacy,India,91.77726506746852,0.15935130725815633,85.54430999717786,6.572374692098151,0.5579763570833414,True,7.9,8.9,8.6,0.0,0.6062878197545568,False
MED000011,Sulfvastatin,Painkiller,Tablet,Merck,F319364,06/2026,38.52,Direct from Distributor,Switzerland,104.01437448532913,0.7521255063486669,88.61170494922226,6.83960666954457,2.190613892452836,True,8.2,8.9,9.9,0.0,-0.08491834464911419,False
MED000012,Pohnwyhup,Antibiotic,Cream,Eli Lilly,K251371,03/2027,77.39,Online Pharmacy (Verified),USA,59.732124608412235,0.691422399938356,57.01763405238751,8.103651125569606,34.91898357758268,True,3.1,1.1,9.7,2.0,1.4022421597986212,False
MED000013,Methdipine®,Antihistamine,Syrup,Johnson & Johnson,R9501638,01/2026,139.68,Official Pharmacy,Japan,107.46566990098914,0.5162699759166487,89.9446698149554,7.408989367855455,0.6463893140776027,True,8.6,9.0,9.2,0.0,0.32828547985465467,False
MED000014,Hydroolol®,Antipsychotic,Syrup,Johnson & Johnson,C1911377,11/2027,71.73,Official Pharmacy,UK,100.38253241653874,0.5246241843723286,91.86952561788273,6.409313113065786,4.476814860249638,True,8.6,8.3,9.6,0.0,-0.3984727298100843,False
MED000015,Tamzole,Antibiotic,Gel,AstraZeneca,Y647146,05/2026,81.28,Official Pharmacy,Germany,102.94266855307896,0.0029356032349898697,95.2978238235286,7.688510478934666,3.70308153522858,False,8.5,9.2,8.7,0.0,1.0386459802422223,False
MED000016,Isostatin,Antibiotic,Capsule,Abbott,820627,06/2028,63.04,Online Pharmacy (Verified),USA,100.86795180187801,2.88391439488259,78.96761002233197,5.7462759749817085,6.171204385402941,True,3.9,1.6,7.0,2.0,-0.879372005706117,False
MED000017,Apwwxecl,Antiviral,Injection,Eli Lilly,31309428,08/2027,50.85,Official Pharmacy,China,97.0359085186237,1.062511471272794,86.063758178719,7.766869008618094,2.873736247419556,True,7.5,7.5,8.8,0.0,0.692957602723295,False
MED000018,Dexdronate,Antipsychotic,Cream,AstraZeneca,162088,11/2026,80.92,Official Pharmacy,USA,91.14312705122687,0.8563242927579275,88.10099067550459,7.116958694751293,1.6849293112907315,True,7.9,9.9,9.0,0.0,0.49703726924678016,False
MED000019,Neostatin 83,Antihistamine,Injection,Eli Lilly,863147995,08/2027,61.86,Hospital Pharmacy,Mexico,102.21561557964051,0.2711073706593705,93.08899950558914,7.116232168903749,1.5271667942494724,True,8.9,8.7,9.3,0.0,0.7285836801738548,False
MED000020,Methmycin 56,Antihistamine,Cream,Boehringer Ingelheim,4352108,06/2026,97.68,Official Pharmacy,USA,100.08187999011696,0.935754813532514,100.0,7.320384789973207,1.203730173135758,True,9.2,10.0,10.0,0.0,-0.2010829771551763,False
MED000021,Dexstatin,Hormone,Tablet,Novartis,583665896,06/2026,161.14,Online Pharmacy (Verified),India,103.90820828816668,0.3934222275003816,89.88796273377599,6.29014217241341,0.0,True,8.7,8.9,9.0,0.0,0.2860215986339326,False
MED000022,Methstatin®,Cardiovascular,Injection,GlaxoSmithKline,6652519,06/2028,127.32,Official Pharmacy,USA,96.39812896508414,0.38404425604703196,91.76566905307594,6.200852794174681,0.0,True,8.7,9.3,8.2,0.0,1.0884390674474211,False
MED000023,Yuflltk®,Cardiovascular,Gel,Amgen,272172713,12/2028,59.89,Unknown Source,UK,61.749641145676975,4.630189480919632,100.0,5.730137111015123,5.287442842227129,True,7.5,1.2,6.5,1.0,0.4245155416940234,True
MED000024,Amzole,Antiviral,Ointment,Pfizer,118943,11/2027,62.35,Hospital Pharmacy,USA,98.42989206697665,0.1206598828551933,91.13753007438703,7.11165158218199,1.5810697847156643,True,10.0,10.0,9.4,0.0,-0.17362940710815655,False
MED000025,Cgfieas®,Antiviral,Gel,Amgen,D2848097,11/2028,49.93,Official Pharmacy,USA,99.55263905518831,0.44135974649181514,88.88081770123897,6.413543967486683,4.23111198261152,True,9.9,9.3,8.7,0.0,1.0166724869955286,False
MED000026,Hydrooxacin,Hormone,Gel,Novartis,Z152928,06/2026,18.0,Official Pharmacy,China,66.0006997938399,2.8961374601130734,100.0,3.570937294666371,9.337960854820151,False,5.2,7.1,5.0,4.0,1.3872052685793426,True
MED000027,Gbcqqxq,Hormone,Ointment,Johnson & Johnson,6417811,03/2026,89.59,Hospital Pharmacy,Japan,101.97074812867318,0.48994929578325297,87.2897100000837,6.6513671412815345,0.0,False,8.1,8.4,8.9,0.0,0.3622618192843059,False
MED000028,Dexzole,Painkiller,Ointment,GlaxoSmithKline,Q46383,11/2027,23.04,Direct from Distributor,Germany,94.55226165296241,0.26839960238972876,93.71265354046575,7.020576410611542,0.8591874919702835,True,10.0,9.8,10.0,1.0,-0.20275808098431403,False
MED000029,Erystatin,Hormone,Syrup,Sanofi,X66143,09/2027,93.03,Hospital Pharmacy,Mexico,102.73532489001057,0.7200805661345374,100.0,6.172273464135923,0.4823970926209249,True,9.4,9.2,8.6,0.0,0.6663276253340877,False
MED000030,Eryolol,Hormone,Capsule,Abbott,M12094,04/2026,66.3,Official Pharmacy,USA,97.89095171882221,0.9659548345963422,94.81490194142265,7.303662909995504,2.106069357303121,True,10.0,8.1,8.6,0.0,1.2485298104777136,False
MED000031,Parazole 63®,Antidiabetic,Gel,Pfizer,335966724,01/2027,69.87,Hospital Pharmacy,Switzerland,93.67339771067923,0.7188964797996048,90.28135444688454,7.08051088510921,3.7258679509188815,True,9.2,7.9,8.5,0.0,0.24598230895273143,False
MED000032,Valtidine®,Hormone,Cream,Bayer,X574400,10/2026,41.0,Hospital Pharmacy,USA,96.93156343197656,0.016895972861597608,88.603635554853,7.699107426099352,2.6252775761114253,True,7.8,8.4,8.3,0.0,0.9143214935532886,False
MED000033,Tamoxacin®,Antidiabetic,Capsule,Merck,4958766,04/2026,82.04,Hospital Pharmacy,Unknown,93.31262882186104,3.921691133721569,82.81955247104277,6.573228043847642,4.408412211307864,False,2.9,1.0,5.2,3.0,-2.7440866512939834,True
MED000034,Flucillin,Hormone,Cream,Pfizer,S4657276,12/2026,122.64,Hospital Pharmacy,UK,97.2475955253406,0.057367640598726455,91.78867218076654,6.21451213712338,2.294403374155105,True,9.1,10.0,8.6,1.0,0.8333865241916638,False
MED000035,Wjcgpzpy®,Antibiotic,Ointment,Abbott,V856424,02/2026,138.38,Online Pharmacy (Verified),China,102.25023066202301,0.5677077172699045,90.49844265625059,6.946005514560839,2.9583462892526224,True,8.1,9.1,9.2,0.0,0.40441831750207224,False
MED000036,Leewics,Cardiovascular,Syrup,Bristol-Myers Squibb,88746394,01/2028,42.23,Direct from Distributor,USA,100.36144509326145,0.7961943012404329,89.00271243129228,6.594347218673403,1.2028316245980502,True,9.3,9.0,7.4,0.0,0.9689003955777908,False
MED000037,Xtkhdf,Antihistamine,Syrup,Amgen,C0415417,07/2027,79.5,Direct from Distributor,Switzerland,106.77107610567502,0.4283761918472062,85.67360808818789,7.532115923002489,2.9379666865170972,True,7.0,10.0,8.4,0.0,0.7968740696061798,False
MED000038,Benzdipine 86,Antipsychotic,Syrup,GlaxoSmithKline,010992290,10/2028,53.32,Online Pharmacy (Unverified),India,96.85760926122472,0.5302224884006241,92.33299499841854,7.343906151373764,0.0,False,8.9,10.0,8.8,0.0,-0.26160665070334665,False
MED000039,Hydrooxacin®,Antibiotic,Syrup,Eli Lilly,84347737,08/2034,164.22,Hospital Pharmacy,USA,102.07541414114809,0.517764765866776,98.79539963252564,7.44225547064018,2.179734888628401,True,8.9,9.0,9.7,0.0,-0.10060133114910252,False
MED000040,Valolol,Antipsychotic,Gel,Bayer,713007354,08/2027,155.28,Hospital Pharmacy,UK,96.99106440247739,0.41422120233796,91.67149996076995,7.161449565209165,3.057916008943293,True,9.6,9.5,10.0,1.0,0.41561625742174824,False
MED000041,Amtidine,Antihistamine,Syrup,AstraZeneca,F0892384,06/2025,49.41,Online Pharmacy (Verified),Mexico,97.09165539140623,0.6331140288712239,84.81950535527345,6.8648866533977,0.9235427297180809,True,9.5,9.6,8.3,0.0,1.0224873812817563,False
MED000042,Erypril,Cardiovascular,Ointment,Roche,509044802,08/2028,55.26,Official Pharmacy,Mexico,97.97774665599285,0.5951987109246445,87.03156446983849,7.208128703650574,0.4021499964948534,True,8.1,9.9,9.4,0.0,0.36842444536426455,False
MED000043,Azasartan,Cardiovascular,Capsule,Sanofi,669486126,04/2027,36.26,Online Pharmacy (Unverified),Switzerland,96.85314375548397,0.7995787199406572,100.0,6.755164777937121,1.8255624126791128,True,8.0,8.9,9.4,0.0,1.5029804170499979,False
MED000044,Dextidine®,Painkiller,Tablet,Abbott,827533,02/2026,101.77,Online Pharmacy (Verified),UK,102.45019542424625,0.17889745246401484,85.83587780529393,7.576611507173773,1.8641039494581464,True,7.9,10.0,9.0,0.0,0.9769372635861922,False
MED000045,Rifzole,Antiviral,Injection,Novartis,X445679,05/2027,68.05,Online Pharmacy (Verified),USA,103.3635262064844,0.0,96.04748846214979,6.531568780812364,4.217209975784666,True,8.2,7.7,10.0,0.0,0.24077311439561544,False
MED000046,Erymycin,Antipsychotic,Capsule,Merck,H4197523,06/2028,138.41,Hospital Pharmacy,Nigeria,95.05485134008266,0.4944050898680422,85.86857790143513,7.071793146634645,3.016005405517056,True,8.3,9.3,8.9,0.0,-0.36046124715821515,False
MED000047,Neosartan,Antiviral,Ointment,Abbott,C575928,02/2028,71.61,Online Pharmacy (Verified),UK,92.87471032982376,0.3690687886029733,87.00824265436042,7.099528983623648,3.169255234471218,True,9.5,8.3,9.5,0.0,0.46147179168124813,False
MED000048,Zolstatin,Antiviral,Injection,AstraZeneca,P331911,09/2028,76.32,Official Pharmacy,Germany,103.82929242050106,0.30805133322499145,96.24931862360268,6.917053577171908,4.511712269528516,True,6.6,8.6,9.8,0.0,0.6089864968476211,False
MED000049,Isopril,Antidiabetic,Tablet,Merck,93399243,09/2026,118.86,Official Pharmacy,China,102.77505634168209,0.2347067368307622,92.18788966233258,7.006263140411621,2.8020171508936063,True,7.0,10.0,8.9,0.0,0.667688137204641,False
MED000050,Oxypril®,Antiviral,Cream,Bayer,G667022,08/2027,61.58,Online Pharmacy (Unverified),Japan,107.88486786567601,0.7974395135223014,90.10041157716807,7.178226162232605,1.755301811554438,True,7.1,8.7,8.2,1.0,0.7266111887447337,False
MED000051,Rifolol,Antidiabetic,Gel,Roche,N69535,05/2026,12.56,Hospital Pharmacy,India,52.86265111760705,0.0,81.24506747033674,4.1037994116376435,17.69666537029753,False,4.7,9.1,9.1,3.0,5.663311464884936,True
MED000052,Isostatin®,Antihistamine,Tablet,Pfizer,L21031,09/2027,30.06,Hospital Pharmacy,China,97.51001904578317,0.4646765299833786,86.9657277325367,6.772264332137868,3.702105653383832,True,8.4,9.0,7.9,0.0,0.18565984396376145,False
MED000053,Fludipine®,Hormone,Tablet,Eli Lilly,S5347352,08/2027,84.87,Official Pharmacy,Switzerland,100.7689620182306,1.2027606799043797,96.3932763179115,7.304991038448664,0.0,True,9.1,8.8,9.3,1.0,1.0791870946255862,False
MED000054,Neodronate,Antibiotic,Ointment,Bristol-Myers Squibb,66229972,02/2028,92.8,Official Pharmacy,UK,100.10796761838662,0.4228232061390043,86.84880839653675,6.5963766066579215,3.133124706174952,True,8.9,9.1,9.0,0.0,-0.00190097121511823,False
